ID,SAMPLE_NAME,INTERP,X_ED50,Y_ED50,X_WGS84,Y_WGS84,WATER_DEPTH,TERMINAL_DEPTH,PRIMARY_COMPONENT,GRAIN_SIZE,STRENGTH_DENSITY,SECONDARY_COMPONENT,NOTES,BED_TOP,BED_BASE
92,54+2/171/VE/1,GDOC,,54.1281,2.0810526,54.1273473,38,1.3,Sand,medium to coarse,,"muddy, shelly",olive grey,0,0.1
92,54+2/171/VE/1,GDOC,2.08248,54.1281,2.0810526,54.1273473,38,1.3,Sand,medium,,slightly muddy,greenish grey,0.1,1.33
93,54+2/170/VE/1,GDOC,,54.11635,2.0866131,54.115597,64,5,Sand,very fine,,very muddy,dark olive grey,0,5
94,54+2/437/VE/1,GDOC,,54.11533,2.079403,54.1145769,68,5.5599999,Sand,very fine,,muddy,olive grey,0,5.56
95,54+1/886/VE/1,GDOC,,54.11717,1.9722403,54.1164157,67,5.2399998,Sand,very fine,,muddy,dark olive grey,0,5.24
96,54+1/95/VE/1,GDOC,,54.11705,1.9421495,54.1162953,57,4.4000001,Mud,,,"silty, Sandy",olive grey,0,4.4
97,54+1/164/VE/1,GDOC,,54.11,1.9769106,54.1092455,67,4.6999998,Sand,very fine,,very muddy,olive grey,0,4.73
99,54+1/94/VE/1,GDOC,,54.06166,1.967702,54.0609038,65,2.5,Sand,,,very muddy,dark grey green,0,0.55
99,54+1/94/VE/1,GDOC,1.96913,54.06166,1.967702,54.0609038,65,2.5,Gravel,,,"muddy, shelly",pale yellowish brown,0.55,1.05
99,54+1/94/VE/1,GDOC,1.96913,54.06166,1.967702,54.0609038,65,2.5,Sand,medium to very coarse,,occasional Gravel,brownish yellow,1.05,2.48
99,54+1/94/VE/1,GDOC,1.96913,54.06166,1.967702,54.0609038,65,2.5,Gravel,,,"muddy, Sandy",,2.48,2.54
